label,text,text_length,sentiment
0,↑  ヘッド クリーニング で 直り ました 。  この 製品 の せい な の か 、 プリンター の せい な の か は 分かり ませ ん 。  安い から これ から も 使う でしょう けど 、 やっぱり 純正 品 ほど の 信頼 性  は 望め ない のでしょう か ？ 類似 品 でも ストレス なく 使い たい です よ ね〜 。,174,ネガティブ
0,私 は 少し 目 が 悪い ので 画面 に 目 を つけて 操作 し ます 、 その ため 長く 使って る と 頭 が 痛く なり 、 よい 商品 だ と 思い パソコン 用 と 新しく 買った アイパットエアー ２ 用 の ２ 商品 を 買い ました 。  初め に パソコン 用 を 袋 から 出して 厚い プラスチック 板 を はずして 画面 に 貼り付ける のです が なかなか うまく いき ませ ん 。  貼れて も 薄い シート が はがれ ない のです 、 あげく に 紙 の 取っ手 が 破れて 使い物 に なり ませ ん 。  結局 １ 度 も 使わ ず に 捨て ました 。  今 まで エレコム の 商品 は 安くて 品物 が よかった ので 買い 続け ました が 、 もう 二度と エレコム の 商品 は 買い たく ない です 。  アイパット 用 の ブルー ライト フィルム は 開けて も ない です 。  僕 は 言い たい のです が この レビュー は エレコム さん は 見て る のでしょう か ? 星 １ つ の レビュー が 多かった みたいで す 改善 は して る のでしょう か ?  それ に アマゾン さん は この レビュー を 見て る のでしょう か ?  メーカー 側 に 改善 と か 指導 して る のでしょう か ? メーカー の 責任 は もちろん 販売 業者 の 責任 も ある と 思い ます 。  今後 この 商品 を 買い たい っと 思って る お 客 様 の ため に も 参考 に して ほしい と 思って ます 。,705,ネガティブ
1,これ は 、 本当に 良い と 思い ます 。  アマゾン プライム に 加入 して いる と 品物 が 早く 届く だけ で なく 、 これ が あれば TV で 色々な 映画 など が 鑑賞 出来る ので 非常に 良い です 。,117,ポジティブ
1,40 インチ の テレビ （ SONY) です が HDMI の ポート が 一 つ しか ない ので HDMI 切替 機 （ 3 ポート ） で 使用 して ます 。 設定 は 簡単でした 。 ルータ （ 300Mbps  ） も スムーズに 読み 込んで くれた 。 スイッチ オン 最初の 読み 込み が 少し 遅い けど 読み 込んで しまえば 後 は ボタン に 連動 して キビキビ 動作 し ます 。 めんどくさい の は 検索 です ね 、 スマホ で アプリ を 使えば 音声 検索 でき ます ので 問題 ない か 。 画面 （ 750P ） も とっても 綺麗で 大 満足 です ね 。 一旦 テレビ を 見る の に 停止 して も また 続き から 見 れる ので 便利です ね 。,355,ポジティブ
1,カバン の 中 に 入れた 状態 の まま ポケット の 出し入れ を する 際 は 、 これ くらい ポケット の 口 に 余裕 が ある 方 が 使い やすい です ね 。 蓋 が ついて いたり 、 口 が きつ めだったり する と 逆に 使い にくい です （ バッグ から 出して 使う 用途 の バッグ イン バッグ は きつ めの 方 が 良い のです が ） 。 ポケット の 数 、 位置 、 大き さ と ちょうど 使い たい もの を 入れ られる ので 五 点 に し ました 。 書類 を 入れる 場所 に プラスチック の フォルダ が あって 、 この 辺 は さすが に 文具 メーカー だ な と 思い ました 。,326,ポジティブ
1,印刷 も きれいに 乗り 、 切り離し も し やすく 満足 して い ます 。  枚数 も たっぷり 入って いる ので よい です 。,70,ポジティブ
0,上記 の 他 に 全体 が 柔らかい ので 鞄 の 中 で 変形 して しまう の が 不便 。,49,ネガティブ
1,最近 通販 で 互換 性 と 書いて あって 、 今回 も 騙さ れる か と 思った けれど よい 状態 で 満足,59,ポジティブ
0,印刷 の 品質 や トラブル 防止 の ため 純正 品 を 用いて い ます が 、 一 つ 当たり の 価格 が 高 すぎ ます 。 数 回 の 交換 で プリンタ 本体 の 価格 に 相当 し ます し 、 印刷 そのもの 以外 で の 調整 時 に かなり インク を 消費 して い そうです 。 交換 し ない と 印刷 でき ない ので 仕方なく 買って い ます が 、 正直や って い られ ない 価格 です 。,216,ネガティブ
1,値段 以上 の 質感 で 使い 勝手 も 良く 、 コスト パフォーマンス は かなり 高い と 思い ます 。,57,ポジティブ
